ID,x,y,impact.ssp126.2050,impact.ssp245.2050,impact.ssp370.2050,impact.ssp585.2050,impact.ssp126.2100,impact.ssp245.2100,impact.ssp370.2100,impact.ssp585.2100
DH98,40.58934,-15.571102,0.4488601962262935,0.49265042721604413,0.6153573525333718,0.5198585399701678,0.46394176550255295,0.5788732414396431,0.6171492247754938,0.6219665480441323
DH99,40.83934,-15.571102,NA,NA,NA,NA,NA,NA,NA,NA
DI115,44.83934,-15.821102,0.18092002110722208,0.1697216648982255,0.11360102610170435,0.1384563738738811,0.149275225684633,0.058981624380112826,0.054661733139568375,0.029490812190056413
DI116,45.08934,-15.821102,NA,NA,NA,NA,NA,NA,NA,NA
DI117,45.33934,-15.821102,0.49322863922674753,0.5323016134844343,0.46534985377789484,0.430615225668511,0.5109468212801032,0.3936972670768245,0.44110094072691874,0.3543987934753954
DI118,45.58934,-15.821102,0.4816658107955308,0.4652833271127856,0.500467176520716,0.5402122906464172,0.4760014549094118,0.4668119782947675,0.49702058676180116,0.5581005800319572
DI119,45.83934,-15.821102,0.5581218572279192,0.5287096850236207,0.5549680013455999,0.5949701283598174,0.5413331523815286,0.651262409027478,0.5696041754719314,0.6862531544593066
DI120,46.08934,-15.821102,0.4636989744915829,0.4343649253616922,0.472733825289781,0.47215973459163174,0.46248619815072156,0.46902546809439155,0.4869803860413506,0.5444919629264106
DI121,46.33934,-15.821102,0.472278019124841,0.3983903230715373,0.47232344749881966,0.46316705506458883,0.46486321375127587,0.7532784725226688,0.4755146977226386,0.4654899869770531
DI122,46.58934,-15.821102,0.470954645705678,0.4242701879652337,0.4644423910650193,0.45214402670282194,0.447771228424115,0.47651654867659704,0.4607852709615539,0.4436797267242631
DI123,46.83934,-15.821102,0.4965178545495108,0.4262795722055308,0.46655252475828907,0.45572603649655197,0.4616256393392871,0.47497763271194793,0.4630182554270274,0.446227014957446
DI124,47.08934,-15.821102,0.529549017335815,0.41965841681321053,0.46691134225523945,0.4571671260648997,0.5086498910958146,0.49653971361868937,0.4604742695141977,0.4473194835942546
DI134,49.58934,-15.821102,0.510161518444866,0.5076069022417765,0.492116355792151,0.5167441109848244,0.48290435786549574,0.49756071785784706,0.49388298031789013,0.4957898608868187
DI135,49.83934,-15.821102,0.4626487051253838,0.446867152608741,0.4077250484491364,0.4354049560661384,0.43852014052957733,0.4658100323615115,0.42292629236629525,0.4273257065878341
DI136,50.08934,-15.821102,0.5034681803163222,0.5193028929160278,0.4793490416056523,0.5145939455447375,0.49620055816924435,0.5007488456344196,0.47893681233706026,0.488925828233089
DI137,50.33934,-15.821102,0.645302721088262,0.6240478402666013,0.6187244816751967,0.6323424735288162,0.592091831665348,0.6344614651937126,0.6220377659391545,0.6376533847974515
DI138,50.58934,-15.821102,NA,NA,NA,NA,NA,NA,NA,NA
DI153,54.33934,-15.821102,NA,NA,NA,NA,NA,NA,NA,NA
DI154,54.58934,-15.821102,NA,NA,NA,NA,NA,NA,NA,NA
DI155,54.83934,-15.821102,NA,NA,NA,NA,NA,NA,NA,NA
DI95,39.83934,-15.821102,0.5093546437434469,0.6155867702951316,0.48310528806330266,0.5309012839568367,0.5161776992929697,0.5615757727587064,0.4566039893468548,0.49643222992137986
DI96,40.08934,-15.821102,0.5053591152046412,0.5401210104853822,0.5660131466433109,0.5322670236099467,0.4894406228390494,0.5384792521487552,0.5608601058667186,0.5288910136624149
DI97,40.33934,-15.821102,0.639424742373263,0.6858601027076604,0.749350143857792,0.6567821195260047,0.6237465657794368,0.7092354182770534,0.7697195603136281,0.7033566610705664
DI98,40.58934,-15.821102,NA,NA,NA,NA,NA,NA,NA,NA
DJ112,44.08934,-16.071102,NA,NA,NA,NA,NA,NA,NA,NA
